,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tāybād,34.74,60.7756,39.92,61,0,1.54,IR,1611773811
1,Torbay,47.6666,-52.7314,30.0,80,75,13.8,CA,1611773812
2,Talnakh,69.4865,88.3972,-21.23,85,100,4.29,RU,1611773813
3,Saskylakh,71.9167,114.0833,-43.6,79,79,1.66,RU,1611773814
4,Pevek,69.7008,170.3133,-24.68,87,100,3.09,RU,1611773815
5,Cape Town,-33.9258,18.4232,68.0,68,20,23.02,ZA,1611773698
6,Iskateley,67.6803,53.1512,-5.12,89,100,16.28,RU,1611773817
7,Vaini,-21.2,-175.2,75.2,94,75,10.36,TO,1611773819
8,Airai,-8.9266,125.4092,61.5,100,100,3.8,TL,1611773820
9,San Andrés,12.5847,-81.7006,82.4,78,40,9.22,CO,1611773596
10,Nantucket,41.2835,-70.0995,39.2,93,90,13.8,US,1611773822
11,Port Alfred,-33.5906,26.891,66.0,94,19,3.0,ZA,1611773823
12,Salym,60.0625,71.4789,-7.83,91,100,6.4,RU,1611773824
13,Carnarvon,-24.8667,113.6333,71.6,83,0,18.41,AU,1611773825
14,Priozyornoye,45.2698,36.3303,50.67,72,100,21.52,UA,1611773826
15,Upernavik,72.7868,-56.1549,-1.61,90,100,1.95,GL,1611773828
16,Shuyskoye,59.3736,41.0305,28.94,98,99,10.09,RU,1611773829
17,Hilo,19.7297,-155.09,69.8,83,90,4.61,US,1611773830
18,Coquimbo,-29.9533,-71.3436,68.0,68,0,16.11,CL,1611773612
19,Hofn,64.2539,-15.2082,26.6,59,0,12.66,IS,1611773832
20,Angoche,-16.2325,39.9086,80.44,82,60,7.36,MZ,1611773833
21,Lanzhou,36.0564,103.7922,24.01,52,0,0.78,CN,1611773834
22,Erzin,36.9559,36.2,53.6,57,75,9.22,TR,1611773835
23,Jamestown,42.097,-79.2353,26.01,80,90,7.47,US,1611773835
24,Dingle,10.9995,122.6711,75.36,89,100,9.13,PH,1611773838
25,Cayenne,4.9333,-52.3333,82.4,74,75,5.75,GF,1611773839
26,Ponta do Sol,32.6667,-17.1,62.6,88,20,8.05,PT,1611773840
27,Rikitea,-23.1203,-134.9692,79.32,76,6,14.23,PF,1611773841
28,Bud,39.447,-86.1758,30.0,83,100,7.76,US,1611773842
29,Belz,47.6751,-3.168,52.0,100,100,16.89,FR,1611773843
30,Prachuap Khiri Khan,12.2167,99.75,69.62,83,0,1.95,TH,1611773844
31,Bitung,1.4451,125.1824,73.4,94,20,2.3,ID,1611773846
32,Saint Paul Harbor,57.79,-152.4072,28.4,86,90,2.15,US,1611773847
33,Härnösand,62.6323,17.9379,19.4,86,90,11.5,SE,1611773848
34,San Quintín,30.4833,-115.95,57.31,45,49,2.84,MX,1611773849
35,Mar del Plata,-38.0023,-57.5575,69.8,56,0,13.8,AR,1611773752
36,Severo-Kuril'sk,50.6789,156.125,25.68,94,100,9.37,RU,1611773852
37,Shingū,33.7333,135.9833,46.45,55,62,5.17,JP,1611773853
38,Kruisfontein,-34.0033,24.7314,66.0,87,97,4.0,ZA,1611773855
39,Ushuaia,-54.8,-68.3,44.6,70,40,19.57,AR,1611773830
40,Bluff,-46.6,168.3333,50.0,86,100,15.01,NZ,1611773857
41,Shabqadar,34.2139,71.5552,51.15,37,73,4.34,PK,1611773858
42,Qaanaaq,77.484,-69.3632,-15.05,64,0,7.67,GL,1611773860
43,Orlik,52.5178,99.825,-5.57,83,100,3.15,RU,1611773861
44,Nelson Bay,-32.7167,152.15,71.01,100,90,19.57,AU,1611773862
45,Punta Arenas,-53.15,-70.9167,50.0,50,75,26.46,CL,1611773577
46,Saldanha,-33.0117,17.9442,66.2,59,0,20.71,ZA,1611773867
47,Bredasdorp,-34.5322,20.0403,64.4,55,97,3.44,ZA,1611773605
48,Busselton,-33.65,115.3333,51.01,87,0,10.16,AU,1611773869
49,Kaitangata,-46.2817,169.8464,53.01,67,19,17.0,NZ,1611773870
50,Nānākuli,21.3906,-158.1547,73.4,73,1,5.75,US,1611773871
51,San Patricio,28.017,-97.5169,71.6,23,75,20.71,US,1611773872
52,Thompson,55.7435,-97.8558,-13.0,77,40,3.44,CA,1611773873
53,Vanimo,-2.6741,141.3028,76.98,86,100,6.58,PG,1611773875
54,Khatanga,71.9667,102.5,-29.25,80,0,7.43,RU,1611773876
